,Kenteken,Voertuigsoort,Merk,Handelsbenaming,Datum tenaamstelling,Eerste kleur,Cilinderinhoud,Datum eerste toelating,Datum eerste tenaamstelling in Nederland,Catalogusprijs
4914,P073DL,Personenauto,VOLKSWAGEN,ID.4 PRO 150 KW,20220218,GRIJS,,20220218,20220218,48655
4915,P073FL,Personenauto,PEUGEOT,2008,20220307,ZWART,,20220307,20220307,34750
4916,P073HF,Personenauto,SKODA,ENYAQ 60,20220311,GRIJS,,20220311,20220311,45355
4917,P073HH,Personenauto,SKODA,ENYAQ 80,20220321,GRIJS,,20220321,20220321,55405
4918,P073HK,Personenauto,AUDI,E-TRON 55,20220318,GRIJS,,20220318,20220318,74799
4919,P073HR,Personenauto,KIA,NIRO,20220405,BLAUW,,20220405,20220405,42345
4920,P073HT,Personenauto,BMW I,I3,20221007,BLAUW,,20220621,20220621,45525
4921,P073JL,Personenauto,BMW I,I3S,20220328,GRIJS,,20220328,20220328,47700
4922,P073JP,Personenauto,SKODA,ENYAQ 80,20220405,GRIJS,,20220405,20220405,53385
4923,P073JT,Personenauto,SKODA,ENYAQ 80,20220404,WIT,,20220404,20220404,59715
4924,P073KJ,Personenauto,SKODA,ENYAQ 60,20220615,ROOD,,20220429,20220429,52535
4925,P073KV,Personenauto,VOLVO,XC40,20220412,ZWART,,20220412,20220412,44885
4926,P073ND,Personenauto,MERCEDES-BENZ,EQA 250,20220422,GRIJS,,20220422,20220422,60330
4927,P073PB,Personenauto,SKODA,ENYAQ 80,20220506,WIT,,20220506,20220506,54955
4928,P073SR,Personenauto,PEUGEOT,208,20220531,ZWART,,20220531,20220531,32699
4929,P073SX,Personenauto,DACIA,SPRING,20220610,WIT,,20220610,20220610,19079
4930,P073TX,Personenauto,TESLA,MODEL Y,20220630,ROOD,,20220630,20220630,73700
4931,P073VF,Personenauto,PEUGEOT,2008,20220729,ORANJE,,20220729,20220729,38000
4932,P073VG,Personenauto,KIA,EV6,20220621,GRIJS,,20220621,20220621,57260
4933,P073XF,Personenauto,DACIA,SPRING,20220714,GRIJS,,20220714,20220714,19385
4934,P073XK,Personenauto,KIA,EV6,20220719,GROEN,,20220719,20220719,52960
4935,P073ZF,Personenauto,VOLVO,C40,20220802,BLAUW,,20220802,20220802,60530
4936,P073ZN,Personenauto,BMW,I4 M50,20220708,GRIJS,,20220708,20220708,88169
4937,P074BJ,Personenauto,BMW,IX3,20220202,ZWART,,20220202,20220202,75079
4938,P074DL,Personenauto,VOLKSWAGEN,ID.4 PRO 150 KW,20220216,GRIJS,,20220216,20220216,52125
4939,P074FK,Personenauto,PEUGEOT,208,20220224,GRIJS,,20220224,20220224,32300
4940,P074GG,Personenauto,SKODA,ENYAQ 60,20220324,WIT,,20220324,20220324,44965
4941,P074GT,Personenauto,SKODA,ENYAQ 60,20220310,GRIJS,,20220310,20220310,42625
4942,P074GZ,Personenauto,TESLA,MODEL Y,20220802,WIT,,20220331,20220331,64000
4943,P074HH,Personenauto,SKODA,ENYAQ 80,20220315,GRIJS,,20220315,20220315,55405
4944,P074HT,Personenauto,BMW I,I3,20220719,GRIJS,,20220624,20220624,45525
4945,P074JT,Personenauto,AUDI,E-TRON 55,20220329,ZWART,,20220329,20220329,80320
4946,P074KD,Personenauto,VOLVO,C40,20220331,WIT,,20220331,20220331,62010
4947,P074KF,Personenauto,MERCEDES-BENZ,EQB 250,20220405,GRIJS,,20220405,20220405,64148
4948,P074KJ,Personenauto,SKODA,ENYAQ 80,20220415,GRIJS,,20220415,20220415,50905
4949,P074KV,Personenauto,VOLVO,XC40,20220412,BLAUW,,20220412,20220412,51880
4950,P074KX,Personenauto,CITROEN,E-C4,20220425,ZWART,,20220425,20220425,39299
4951,P074LG,Personenauto,BMW,IX3,20220817,ZWART,,20220414,20220414,76434
4952,P074NH,Personenauto,DACIA,SPRING,20220813,BLAUW,,20220516,20220516,19180
4953,P074PB,Personenauto,VOLKSWAGEN,ID.3 PRO 150 KW,20220510,WIT,,20220510,20220510,39775
4954,P074PR,Personenauto,BMW,I4 M50,20220516,GROEN,,20220516,20220516,87028
4955,P074PX,Personenauto,VOLVO,C40,20220914,GROEN,,20220513,20220513,61614
4956,P074RH,Personenauto,MERCEDES-BENZ,EQS 350,20220520,GRIJS,,20220520,20220520,94476
4957,P074RJ,Personenauto,MINI,COOPER SE,20220525,GRIJS,,20220525,20220525,40610
4958,P074SG,Personenauto,MINI,COOPER SE,20220609,BLAUW,,20220609,20220609,41412
4959,P074TF,Personenauto,BMW,IX XDRIVE40,20220601,GRIJS,,20220516,20220601,109647
4960,P074VN,Personenauto,PEUGEOT,208,20220629,GRIJS,,20220629,20220629,31149
4961,P074XD,Personenauto,CITROEN,E-C4,20220708,GRIJS,,20220708,20220708,41049
4962,P074XK,Personenauto,KIA,EV6,20220722,GROEN,,20220722,20220722,52460
4963,P074XN,Personenauto,OPEL,MOKKA,20220829,GRIJS,,20220228,20220627,35698
4964,P074ZP,Personenauto,PEUGEOT,208,20220708,WIT,,20220616,20220708,35330
4965,P074ZZ,Personenauto,MERCEDES-BENZ,EQA 250,20220715,ROOD,,20220715,20220715,55870
4966,P075GK,Personenauto,AUDI,Q4 SPORTBACK 50 E-TRON,20220617,ZWART,,20220131,20220617,78259
4967,P075GZ,Personenauto,TESLA,MODEL Y,20220330,WIT,,20220330,20220330,64000
4968,P075HD,Personenauto,MG,MG ZS EV,20220321,GRIJS,,20220321,20220321,32640
4969,P075HH,Personenauto,AUDI,Q4 40 E-TRON,20220318,ZWART,,20220318,20220318,57771
4970,P075HK,Personenauto,AUDI,Q4 40 E-TRON,20220318,ZWART,,20220318,20220318,66334
4971,P075HN,Personenauto,HYUNDAI,IONIQ5,20220318,GEEL,,20220318,20220318,60695
4972,P075HT,Personenauto,BMW I,I3,20220923,GRIJS,,20220624,20220624,45525
4973,P075KF,Personenauto,MERCEDES-BENZ,EQB 300 4MATIC,20220331,ZWART,,20220331,20220331,63041
4974,P075KJ,Personenauto,SKODA,ENYAQ 60,20220407,GRIJS,,20220407,20220407,48465
4975,P075KL,Personenauto,BMW,IX3,20220408,ZWART,,20220408,20220408,69180
4976,P075PN,Personenauto,BMW,IX3,20220513,BLAUW,,20220513,20220513,74453
4977,P075PR,Personenauto,BMW,I4 EDRIVE40,20220516,GRIJS,,20220516,20220516,69461
4978,P075PX,Personenauto,VOLVO,C40,20220915,ORANJE,,20220513,20220513,61659
4979,P075RJ,Personenauto,MINI,COOPER SE,20220520,ROOD,,20220520,20220520,40186
4980,P075SH,Personenauto,FORD,MUSTANG MACH-E,20220528,ROOD,,20220528,20220528,59975
4981,P075TB,Personenauto,FORD,MUSTANG MACH-E,20220607,GRIJS,,20220607,20220607,64700
4982,P075TX,Personenauto,TESLA,MODEL Y,20220629,ZWART,,20220629,20220629,70990
4983,P075VF,Personenauto,PEUGEOT,208,20220824,WIT,,20220824,20220824,31999
4984,P075VL,Personenauto,TESLA,MODEL Y,20220620,WIT,,20220620,20220620,70000
4985,P075VT,Personenauto,BMW,IX XDRIVE40,20220630,GRIJS,,20220630,20220630,107952
4986,P075XD,Personenauto,CITROEN,E-C4,20220630,ZWART,,20220630,20220630,40249
4987,P075XG,Personenauto,KIA,NIRO,20220704,ZWART,,20220531,20220704,45844
4988,P075XK,Personenauto,KIA,EV6,20220723,GRIJS,,20220723,20220723,52460
4989,P075ZR,Personenauto,AUDI,E-TRON SPORTBACK 55,20220709,WIT,,20220709,20220709,79626
4990,P076BJ,Personenauto,BMW,IX3,20220128,ZWART,,20220128,20220128,75933
4991,P076BR,Personenauto,KIA,NIRO,20220310,WIT,,20220209,20220209,45050
4992,P076DJ,Personenauto,HYUNDAI,IONIQ5,20220211,GEEL,,20220211,20220211,59800
4993,P076GK,Personenauto,AUDI,Q4 40 E-TRON,20220316,GRIJS,,20220127,20220316,68818
4994,P076HD,Personenauto,MG,MG ZS EV,20220315,GRIJS,,20220315,20220315,32640
4995,P076HH,Personenauto,AUDI,Q4 40 E-TRON,20220317,GRIJS,,20220317,20220317,67901
4996,P076HK,Personenauto,AUDI,Q4 40 E-TRON,20220318,GRIJS,,20220318,20220318,58935
4997,P076HT,Personenauto,BMW I,I3,20220624,GRIJS,,20220624,20220624,45525
4998,P076HZ,Personenauto,FORD,MUSTANG MACH-E,20220330,GRIJS,,20220330,20220330,62074
4999,P076JL,Personenauto,BMW,IX3,20220330,WIT,,20220330,20220330,77477
5000,P076JP,Personenauto,AUDI,Q4 40 E-TRON,20220913,GRIJS,,20220415,20220415,60735
5001,P076KF,Personenauto,MERCEDES-BENZ,EQB 300 4MATIC,20220331,ZWART,,20220331,20220331,63041
5002,P076KJ,Personenauto,SKODA,ENYAQ 80,20220603,GRIJS,,20220429,20220429,54265
5003,P076KL,Personenauto,BMW,IX3,20220406,GRIJS,,20220406,20220406,73580
5004,P076LK,Personenauto,DACIA,SPRING,20220420,ROOD,,20220420,20220420,19180
5005,P076LZ,Personenauto,BMW,IX3,20220426,ROOD,,20220426,20220426,76151
5006,P076NB,Personenauto,FORD,MUSTANG MACH-E,20220428,ZWART,,20220428,20220428,67640
5007,P076ND,Personenauto,MERCEDES-BENZ,EQA 250,20220429,WIT,,20220429,20220429,56256
5008,P076PR,Personenauto,BMW,IX3,20220514,ZWART,,20220514,20220514,76151
5009,P076PX,Personenauto,VOLVO,C40,20220919,GRIJS,,20220513,20220513,61264
5010,P076RP,Personenauto,KIA,EV6,20220525,GRIJS,,20220525,20220525,52460
5011,P076TX,Personenauto,TESLA,MODEL Y,20220623,WIT,,20220623,20220623,64000
5012,P076VL,Personenauto,TESLA,MODEL Y,20220624,WIT,,20220624,20220624,70000
5013,P076VN,Personenauto,PEUGEOT,2008,20220728,ZWART,,20220728,20220728,37749
5014,P076XD,Personenauto,CITROEN,E-C4,20220715,BLAUW,,20220715,20220715,34399
5015,P076XG,Personenauto,KIA,NIRO,20220704,GRIJS,,20220531,20220704,45844
5016,P076XK,Personenauto,KIA,EV6,20220713,BLAUW,,20220713,20220713,52460
5017,P076ZN,Personenauto,BMW,I4 M50,20220819,BLAUW,,20220819,20220819,81584
5018,P076ZZ,Personenauto,MERCEDES-BENZ,EQA 250,20220720,GRIJS,,20220720,20220720,50327
5019,P077BB,Personenauto,NISSAN,NISSAN LEAF 62KWH,20220131,GRIJS,,20220131,20220131,43641
5020,P077DJ,Personenauto,HYUNDAI,IONIQ5,20220215,GROEN,,20220215,20220215,58705
5021,P077FK,Personenauto,PEUGEOT,208,20220224,BLAUW,,20220224,20220224,35229
5022,P077HT,Personenauto,BMW I,I3,20220627,BLAUW,,20220622,20220622,45525
5023,P077KF,Personenauto,MERCEDES-BENZ,EQB 300 4MATIC,20220331,ZWART,,20220331,20220331,63041
