,Kenteken,Voertuigsoort,Merk,Handelsbenaming,Datum tenaamstelling,Eerste kleur,Cilinderinhoud,Datum eerste toelating,Datum eerste tenaamstelling in Nederland,Catalogusprijs
0,H733KF,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220624,20220624,70037
1,J109GR,Personenauto,SKODA,CITIGO,20220128,WIT,,20220121,20220121,24270
2,J184VX,Personenauto,SKODA,CITIGO,20220103,ZWART,,20220103,20220103,24369
3,J459SZ,Personenauto,SKODA,CITIGO,20220103,ZWART,,20220103,20220103,24369
4,J471KX,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,74037
5,J806HB,Personenauto,HYUNDAI,NEXO,20220902,BLAUW,,20220624,20220624,69142
6,K588VD,Personenauto,SKODA,CITIGO,20220104,ZWART,,20220104,20220104,22910
7,K619NB,Personenauto,SERES,DFSK,20220106,WIT,,20220106,20220106,36947
8,K695DZ,Personenauto,HYUNDAI,IONIQ,20220624,GRIJS,,20220126,20220126,37967
9,K783GX,Personenauto,HYUNDAI,NEXO,20220602,GRIJS,,20220405,20220405,74037
10,K866BS,Personenauto,TESLA,MODEL 3,20220715,GRIJS,,20220715,20220715,48080
11,L050PK,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
12,L051PK,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
13,L052PK,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
14,L053PK,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
15,L054PK,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
16,L055PK,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
17,L056PK,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
18,L057PK,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
19,L058PK,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
20,L059KH,Personenauto,TOYOTA,PROACE,20220511,WIT,,20220511,20220511,54210
21,L090ZV,Personenauto,HYUNDAI,NEXO,20220531,WIT,,20220531,20220531,78142
22,L091ZV,Personenauto,HYUNDAI,NEXO,20220106,BLAUW,,20220106,20220106,78142
23,L092ZV,Personenauto,HYUNDAI,NEXO,20220627,GRIJS,,20220627,20220627,80037
24,L101ZV,Personenauto,HYUNDAI,KONA,20220212,GRIJS,,20220212,20220212,39510
25,L260HL,Personenauto,TOYOTA,TOYOTA MIRAI,20220909,WIT,,20220909,20220909,76855
26,L359ZL,Personenauto,MERCEDES-BENZ,EQA 250,20220920,GRIJS,,20220201,20220201,56596
27,L400XH,Personenauto,HYUNDAI,NEXO,20220622,WIT,,20220622,20220622,78142
28,L401PL,Personenauto,HYUNDAI,NEXO,20220702,WIT,,20220630,20220630,78142
29,L401XH,Personenauto,HYUNDAI,NEXO,20220609,WIT,,20220609,20220609,78142
30,L402PL,Personenauto,HYUNDAI,NEXO,20220416,WIT,,20220416,20220416,78142
31,L402XH,Personenauto,HYUNDAI,NEXO,20220702,GRIJS,,20220630,20220630,79142
32,L403PL,Personenauto,HYUNDAI,NEXO,20220609,WIT,,20220609,20220609,78142
33,L403XH,Personenauto,HYUNDAI,NEXO,20220516,GRIJS,,20220516,20220516,79142
34,L404XH,Personenauto,HYUNDAI,NEXO,20220702,GRIJS,,20220630,20220630,79142
35,L405PL,Personenauto,HYUNDAI,NEXO,20220702,GRIJS,,20220630,20220630,79142
36,L405XH,Personenauto,HYUNDAI,NEXO,20220622,WIT,,20220622,20220622,78142
37,L406XH,Personenauto,HYUNDAI,NEXO,20220622,WIT,,20220622,20220622,78142
38,L407XH,Personenauto,HYUNDAI,NEXO,20220622,WIT,,20220622,20220622,78142
39,L408PL,Personenauto,HYUNDAI,NEXO,20220329,GRIJS,,20220329,20220329,80037
40,L409PL,Personenauto,HYUNDAI,NEXO,20220810,GRIJS,,20220630,20220630,80037
41,L409XH,Personenauto,HYUNDAI,NEXO,20220609,GRIJS,,20220609,20220609,80037
42,L410PL,Personenauto,HYUNDAI,NEXO,20220609,GRIJS,,20220609,20220609,80037
43,L410XH,Personenauto,HYUNDAI,NEXO,20220609,GRIJS,,20220609,20220609,80037
44,L411PL,Personenauto,HYUNDAI,NEXO,20220609,GRIJS,,20220609,20220609,80037
45,L411XH,Personenauto,HYUNDAI,NEXO,20220609,GRIJS,,20220609,20220609,80037
46,L412PL,Personenauto,HYUNDAI,NEXO,20220609,GRIJS,,20220609,20220609,80037
47,L413PL,Personenauto,HYUNDAI,NEXO,20220609,GRIJS,,20220609,20220609,80037
48,L414PL,Personenauto,HYUNDAI,NEXO,20220609,GRIJS,,20220609,20220609,80037
49,L505RX,Personenauto,TOYOTA,PROACE,20220405,WIT,,20220405,20220405,54210
50,L507RX,Personenauto,TOYOTA,PROACE,20220405,WIT,,20220405,20220405,54210
51,L530TN,Personenauto,PEUGEOT,2008,20220103,ZWART,,20220103,20220103,36349
52,L862JD,Personenauto,MERCEDES-BENZ,EQV,20220725,GRIJS,,20220725,20220725,105717
53,L928TX,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
54,L929TX,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
55,L930TX,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
56,L931TX,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
57,L932TX,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
58,L933TX,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
59,L934TX,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
60,L935TX,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
61,L936TX,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
62,L937TX,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
63,L938TX,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,79037
64,L939TX,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,80037
65,L940TX,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,80037
66,L941TX,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,80037
67,L942TX,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,80037
68,L943TX,Personenauto,HYUNDAI,NEXO,20220629,GRIJS,,20220629,20220629,80037
69,L944TX,Personenauto,HYUNDAI,NEXO,20220629,BLAUW,,20220629,20220629,79142
70,L999SB,Personenauto,TOYOTA,PROACE,20220406,WIT,,20220406,20220406,54210
71,N001VT,Personenauto,RENAULT,TWINGO,20220728,WIT,,20220106,20220106,22105
72,N001ZR,Personenauto,NISSAN,NISSAN E-NV200,20220131,WIT,,20220131,20220131,44371
73,N002TX,Personenauto,CITROEN,E-C4,20220107,GRIJS,,20220107,20220107,36799
74,N002VZ,Personenauto,MINI,COOPER SE,20220107,GRIJS,,20220107,20220107,34765
75,N002XK,Personenauto,BMW I,I3,20220105,GRIJS,,20220105,20220105,43194
76,N002ZB,Personenauto,HYUNDAI,KONA,20220112,GRIJS,,20220112,20220112,40690
77,N002ZX,Personenauto,BMW,IX3,20220124,ZWART,,20220124,20220124,67311
78,N003SB,Personenauto,RENAULT,TWINGO,20220104,WIT,,20220104,20220104,22165
79,N003TN,Personenauto,HYUNDAI,IONIQ5,20220107,GROEN,,20220107,20220107,52505
80,N003VF,Personenauto,AUDI,E-TRON GT,20220420,GRIJS,,20220121,20220121,126400
81,N003VZ,Personenauto,MINI,COOPER SE,20220126,WIT,,20220126,20220126,35341
82,N003XK,Personenauto,BMW I,I3,20220106,GRIJS,,20220106,20220106,43194
83,N003ZB,Personenauto,HYUNDAI,KONA,20220118,GRIJS,,20220118,20220118,38785
84,N004VF,Personenauto,AUDI,E-TRON GT,20220125,GRIJS,,20220121,20220121,126400
85,N004VZ,Personenauto,MINI,COOPER SE,20220126,WIT,,20220126,20220126,35341
86,N004XK,Personenauto,BMW,IX XDRIVE50,20220330,GRIJS,,20220103,20220103,130061
87,N004ZB,Personenauto,HYUNDAI,KONA,20220113,BRUIN,,20220113,20220113,40690
88,N005TN,Personenauto,HYUNDAI,IONIQ5,20220107,GROEN,,20220107,20220107,52505
89,N005XK,Personenauto,BMW,IX XDRIVE40,20220617,ROOD,,20220617,20220617,102523
90,N005ZS,Personenauto,POLESTAR,POLESTAR 2,20220204,ZWART,,20220204,20220204,44900
91,N006NV,Personenauto,SKODA,ENYAQ 80,20220401,GRIJS,,20220401,20220401,57005
92,N006XK,Personenauto,BMW I,I3,20220113,ZWART,,20220113,20220113,49381
93,N006ZS,Personenauto,POLESTAR,POLESTAR 2,20220202,ZWART,,20220202,20220202,48400
94,N007TK,Personenauto,OPEL,VIVARO,20220103,WIT,,20220103,20220103,53903
95,N007VX,Personenauto,AUDI,Q4 SPORTBACK 40 E-TRON,20220114,ZWART,,20220114,20220114,71388
96,N007ZS,Personenauto,POLESTAR,POLESTAR 2,20220202,GRIJS,,20220202,20220202,45900
97,N008TK,Personenauto,OPEL,VIVARO,20220103,WIT,,20220103,20220103,53903
98,N008ZS,Personenauto,POLESTAR,POLESTAR 2,20220131,ZWART,,20220131,20220131,44900
99,N009TH,Personenauto,BMW I,I3,20220104,GEEL,,20220104,20220104,50898
100,N009ZL,Personenauto,PEUGEOT,2008,20220121,WIT,,20220121,20220121,38329
101,N009ZS,Personenauto,POLESTAR,POLESTAR 2,20220202,GRIJS,,20220202,20220202,49400
102,N010VF,Personenauto,AUDI,E-TRON GT,20220311,ZWART,,20220121,20220121,129064
103,N010ZS,Personenauto,POLESTAR,POLESTAR 2,20220201,ZWART,,20220201,20220201,48400
104,N010ZX,Personenauto,MINI,COOPER SE,20220125,GROEN,,20220125,20220125,40404
105,N011ZL,Personenauto,PEUGEOT,2008,20220120,ORANJE,,20220120,20220120,33999
106,N011ZS,Personenauto,POLESTAR,POLESTAR 2,20220125,GRIJS,,20220125,20220125,49400
107,N012ZS,Personenauto,POLESTAR,POLESTAR 2,20220202,GRIJS,,20220202,20220202,46900
108,N013TK,Personenauto,OPEL,VIVARO,20220103,WIT,,20220103,20220103,52814
109,N014TJ,Personenauto,PEUGEOT,E-FIXXTER XXL,20220112,WIT,,20220112,20220112,54873
110,N014TK,Personenauto,OPEL,VIVARO,20220103,WIT,,20220103,20220103,52814
111,N015SB,Personenauto,RENAULT,ZOE,20220329,WIT,,20220128,20220128,35720
112,N015TK,Personenauto,OPEL,VIVARO,20220103,WIT,,20220103,20220103,53903
113,N015TN,Personenauto,HYUNDAI,IONIQ5,20220115,GROEN,,20220115,20220115,54705
114,N015ZR,Personenauto,FORD,MUSTANG MACH-E,20220128,GRIJS,,20220128,20220128,62074
115,N016VG,Personenauto,FORD,MUSTANG MACH-E,20220202,ZWART,,20220202,20220202,52525
116,N016XG,Personenauto,FORD,MUSTANG MACH-E,20220112,ZWART,,20220112,20220112,58575
117,N016XZ,Personenauto,OPEL,CORSA,20220107,WIT,,20220107,20220107,35795
118,N016ZJ,Personenauto,VOLVO,C40,20220120,BLAUW,,20220120,20220120,60134
119,N018XV,Personenauto,PEUGEOT,208,20220114,ZWART,,20220114,20220114,29750
120,N021JK,Personenauto,PEUGEOT,2008,20220117,ROOD,,20220117,20220117,36180
121,N021XP,Personenauto,NISSAN,NISSAN E-NV200,20220105,GRIJS,,20220105,20220105,45279
122,N021ZX,Personenauto,MINI,COOPER SE,20220129,ZWART,,20220129,20220129,39361
123,N022ZR,Personenauto,RENAULT,TWINGO,20220121,GRIJS,,20220121,20220121,23490
124,N023TN,Personenauto,HYUNDAI,KONA,20220131,WIT,,20220131,20220131,39090
125,N024TK,Personenauto,OPEL,VIVARO,20220103,WIT,,20220103,20220103,52814
126,N024ZB,Personenauto,MAN,TGE,20220106,WIT,,20220106,20220106,65098
127,N025NT,Personenauto,HYUNDAI,IONIQ5,20220107,GROEN,,20220107,20220107,55600
128,N025TK,Personenauto,OPEL,VIVARO,20220103,WIT,,20220103,20220103,52814
129,N025ZR,Personenauto,RENAULT,TWINGO,20220121,WIT,,20220121,20220121,22760
130,N026TK,Personenauto,OPEL,VIVARO,20220103,WIT,,20220103,20220103,53903
131,N026TN,Personenauto,HYUNDAI,KONA,20220111,BLAUW,,20220111,20220111,39090
132,N027TK,Personenauto,OPEL,VIVARO,20220103,WIT,,20220103,20220103,53903
133,N027TN,Personenauto,HYUNDAI,KONA,20220224,BLAUW,,20220224,20220224,39090
134,N027ZR,Personenauto,DACIA,SPRING,20220128,GRIJS,,20220128,20220128,20070
135,N028TN,Personenauto,HYUNDAI,KONA,20220323,BLAUW,,20220323,20220323,39785
136,N028VJ,Personenauto,PORSCHE,TAYCAN 4S,20220126,ROOD,,20220126,20220126,158329
137,N028ZJ,Personenauto,VOLVO,C40,20220128,ZWART,,20220128,20220128,60665
138,N029RD,Personenauto,PEUGEOT,2008,20220107,BLAUW,,20220107,20220107,34730
139,N029XV,Personenauto,OPEL,CORSA,20220112,WIT,,20220112,20220112,36393
140,N030TN,Personenauto,HYUNDAI,KONA,20220105,BLAUW,,20220105,20220105,39785
141,N030VF,Personenauto,AUDI,E-TRON 55,20220115,ZWART,,20220115,20220115,79867
142,N030VH,Personenauto,HYUNDAI,KONA,20220112,WIT,,20220112,20220112,39090
143,N030XV,Personenauto,OPEL,MOKKA,20220107,ROOD,,20220107,20220107,38691
144,N031TN,Personenauto,HYUNDAI,KONA,20220325,BLAUW,,20220325,20220325,39785
145,N031XV,Personenauto,OPEL,CORSA,20220108,ORANJE,,20220108,20220108,33796
146,N032VJ,Personenauto,PORSCHE,TAYCAN 4,20220105,ZWART,,20220105,20220105,109572
147,N033SF,Personenauto,SKODA,ENYAQ 80,20220826,GRIJS,,20220104,20220104,60734
148,N033VH,Personenauto,HYUNDAI,KONA,20220106,GRIJS,,20220106,20220106,40790
149,N033XV,Personenauto,OPEL,MOKKA,20220107,ZWART,,20220107,20220107,36396
150,N033ZR,Personenauto,DACIA,SPRING,20220125,WIT,,20220125,20220125,19475
151,N033ZX,Personenauto,KIA,EV6,20220127,GRIJS,,20220127,20220127,51860
152,N034TF,Personenauto,FORD,MUSTANG MACH-E,20220201,ROOD,,20220201,20220201,60465
153,N034ZX,Personenauto,KIA,EV6,20220126,ROOD,,20220126,20220126,51065
154,N035TN,Personenauto,HYUNDAI,KONA,20220406,GRIJS,,20220406,20220406,39785
155,N035VF,Personenauto,AUDI,E-TRON GT,20220507,ZWART,,20220121,20220121,126400
156,N035VR,Personenauto,CITROEN,JUMPY,20220331,WIT,,20220331,20220331,52970
157,N035ZJ,Personenauto,VOLVO,C40,20220121,GRIJS,,20220121,20220121,58539
158,N035ZX,Personenauto,KIA,EV6,20220128,GRIJS,,20220128,20220128,51860
159,N036TK,Personenauto,OPEL,VIVARO,20220103,WIT,,20220103,20220103,52814
160,N036TN,Personenauto,HYUNDAI,KONA,20220114,WIT,,20220114,20220114,39995
161,N036VF,Personenauto,AUDI,RS E-TRON GT,20220228,GRIJS,,20220228,20220228,170199
162,N036VH,Personenauto,HYUNDAI,KONA,20220115,ROOD,,20220115,20220115,39090
163,N037VF,Personenauto,AUDI,E-TRON 55,20220119,BLAUW,,20220119,20220119,91198
164,N037VR,Personenauto,CITROEN,JUMPY,20220331,WIT,,20220331,20220331,52970
165,N038XR,Personenauto,OPEL,MOKKA,20220106,ZWART,,20220106,20220106,37595
166,N038ZJ,Personenauto,SSANGYONG,KORANDO E-MOTION,20220125,WIT,,20220125,20220125,40590
167,N039ZX,Personenauto,KIA,NIRO,20220126,ZWART,,20220126,20220126,42345
168,N040SV,Personenauto,AUDI,E-TRON 50,20220106,GRIJS,,20220106,20220106,87211
169,N040TL,Personenauto,VOLVO,XC40,20220205,ZWART,,20220205,20220205,49255
170,N040TN,Personenauto,HYUNDAI,KONA,20220215,WIT,,20220215,20220215,40690
171,N040VR,Personenauto,CITROEN,JUMPY,20220331,WIT,,20220331,20220331,52970
172,N040XV,Personenauto,PORSCHE,TAYCAN 4,20220301,BRUIN,,20220111,20220111,124797
173,N040ZS,Personenauto,BMW I,I3,20220125,GRIJS,,20220125,20220125,45880
174,N040ZX,Personenauto,KIA,NIRO,20220122,GRIJS,,20220122,20220122,42345
175,N041SK,Personenauto,AUDI,Q4 40 E-TRON,20220103,PAARS,,20220103,20220103,67765
176,N041TN,Personenauto,HYUNDAI,KONA,20220326,WIT,,20220326,20220326,40690
177,N041VR,Personenauto,CITROEN,JUMPY,20220331,WIT,,20220331,20220331,52970
178,N041XX,Personenauto,CITROEN,E-C4,20220124,ORANJE,,20220124,20220124,38499
179,N041ZJ,Personenauto,VOLVO,XC40,20220119,GROEN,,20220119,20220119,62120
180,N041ZS,Personenauto,BMW,IX XDRIVE40,20220121,ZWART,,20220121,20220121,103847
181,N041ZX,Personenauto,KIA,NIRO,20220128,GRIJS,,20220128,20220128,42345
182,N042TN,Personenauto,HYUNDAI,KONA,20220224,WIT,,20220224,20220224,40690
183,N042XS,Personenauto,PEUGEOT,2008,20220228,ZWART,,20220228,20220228,35299
184,N042ZS,Personenauto,BMW,IX3,20220126,GRIJS,,20220126,20220126,77477
185,N042ZX,Personenauto,KIA,NIRO,20220127,GRIJS,,20220127,20220127,42345
186,N043TN,Personenauto,HYUNDAI,KONA,20220309,WIT,,20220309,20220309,40690
187,N043VR,Personenauto,CITROEN,JUMPY,20220630,WIT,,20220630,20220630,52970
188,N043VX,Personenauto,AUDI,E-TRON GT,20220112,ZWART,,20220112,20220112,110886
189,N043XV,Personenauto,PORSCHE,TAYCAN TURBO S,20220108,GRIJS,,20220108,20220108,223027
190,N043ZR,Personenauto,RENAULT,TWINGO,20220121,GRIJS,,20220121,20220121,23700
191,N043ZX,Personenauto,KIA,NIRO,20220127,GRIJS,,20220127,20220127,46840
192,N044NT,Personenauto,HYUNDAI,IONIQ5,20220104,GROEN,,20220104,20220104,55600
193,N044TF,Personenauto,FORD,MUSTANG MACH-E,20220408,ZWART,,20220106,20220106,59065
194,N044TN,Personenauto,HYUNDAI,KONA,20220204,WIT,,20220204,20220204,40690
195,N044VR,Personenauto,CITROEN,JUMPY,20220331,WIT,,20220331,20220331,52970
196,N044ZX,Personenauto,KIA,NIRO,20220126,BLAUW,,20220126,20220126,43340
197,N045TN,Personenauto,HYUNDAI,KONA,20220103,ZWART,,20220103,20220103,40790
198,N045VR,Personenauto,CITROEN,JUMPY,20220331,WIT,,20220331,20220331,52970
199,N045XV,Personenauto,PORSCHE,TAYCAN 4S,20220114,GRIJS,,20220114,20220114,131843
200,N045ZR,Personenauto,RENAULT,TWINGO,20220122,WIT,,20220122,20220122,24685
201,N045ZX,Personenauto,KIA,NIRO,20220124,BLAUW,,20220124,20220124,42345
202,N046TN,Personenauto,HYUNDAI,KONA,20220111,ZWART,,20220111,20220111,40790
203,N046TX,Personenauto,OPEL,MOKKA,20220328,GRIJS,,20220118,20220118,35997
204,N046VH,Personenauto,HYUNDAI,KONA,20220129,BRUIN,,20220129,20220129,40690
205,N046VR,Personenauto,CITROEN,JUMPY,20220331,WIT,,20220331,20220331,52970
206,N046XV,Personenauto,PORSCHE,TAYCAN 4,20220112,BRUIN,,20220112,20220112,114683
207,N046ZX,Personenauto,KIA,NIRO,20220128,BLAUW,,20220128,20220128,42345
208,N047XV,Personenauto,PORSCHE,TAYCAN 4S,20220110,GRIJS,,20220110,20220110,135802
209,N047XX,Personenauto,PEUGEOT,208,20220112,GRIJS,,20220112,20220112,32600
210,N047ZD,Personenauto,SKODA,ENYAQ 60,20220118,GRIJS,,20220118,20220118,46505
211,N047ZX,Personenauto,KIA,NIRO,20220128,BLAUW,,20220128,20220128,43340
212,N048GH,Personenauto,PEUGEOT,2008,20220422,WIT,,20220422,20220422,39729
213,N048TT,Personenauto,AUDI,E-TRON SPORTBACK 55,20220121,GRIJS,,20220121,20220121,92260
214,N048XR,Personenauto,VOLVO,XC40,20220120,ZWART,,20220120,20220120,53914
215,N048XV,Personenauto,SKODA,ENYAQ 60,20220729,ZWART,,20220107,20220107,48345
216,N048ZX,Personenauto,KIA,NIRO,20220129,ZWART,,20220129,20220129,40845
217,N049TN,Personenauto,HYUNDAI,KONA,20220530,GRIJS,,20220530,20220530,40790
218,N049VR,Personenauto,CITROEN,JUMPY,20220331,WIT,,20220331,20220331,52970
219,N049XV,Personenauto,SKODA,ENYAQ 80,20220105,GRIJS,,20220105,20220105,56055
220,N049ZD,Personenauto,PORSCHE,TAYCAN 4S,20220118,GRIJS,,20220118,20220118,153939
221,N049ZX,Personenauto,KIA,NIRO,20220128,GRIJS,,20220128,20220128,42345
222,N050VR,Personenauto,CITROEN,JUMPY,20220401,WIT,,20220401,20220401,52970
223,N050ZD,Personenauto,SKODA,ENYAQ 60,20220113,BLAUW,,20220113,20220113,43755
224,N050ZX,Personenauto,KIA,NIRO,20220126,BLAUW,,20220126,20220126,45845
225,N051TN,Personenauto,HYUNDAI,KONA,20220106,BLAUW,,20220106,20220106,40690
226,N051ZD,Personenauto,SKODA,ENYAQ 60,20220112,GRIJS,,20220112,20220112,44955
227,N051ZX,Personenauto,KIA,NIRO,20220122,GRIJS,,20220122,20220122,40845
228,N052TN,Personenauto,HYUNDAI,KONA,20220223,GRIJS,,20220223,20220223,40690
229,N052XT,Personenauto,TOYOTA,TOYOTA MIRAI,20220107,BLAUW,,20220107,20220107,65060
230,N052ZD,Personenauto,SKODA,ENYAQ 60,20220113,WIT,,20220113,20220113,45645
231,N052ZX,Personenauto,KIA,NIRO,20220127,BLAUW,,20220127,20220127,45845
232,N053TN,Personenauto,HYUNDAI,KONA,20220322,GRIJS,,20220322,20220322,40690
233,N053VH,Personenauto,HYUNDAI,KONA,20220205,BLAUW,,20220205,20220205,40690
234,N053XR,Personenauto,VOLVO,C40,20220204,GRIJS,,20220204,20220204,60514
235,N053ZD,Personenauto,SKODA,ENYAQ 60,20220505,BLAUW,,20220112,20220112,49755
236,N054TN,Personenauto,HYUNDAI,KONA,20220317,GRIJS,,20220317,20220317,40690
237,N055VH,Personenauto,HYUNDAI,KONA,20220204,BLAUW,,20220204,20220204,43590
238,N055VT,Personenauto,RENAULT,TWINGO,20220107,WIT,,20220107,20220107,22995
239,N055ZD,Personenauto,MERCEDES-BENZ,EQA 250,20220117,GRIJS,,20220117,20220117,51894
240,N055ZS,Personenauto,BMW,IX3,20220125,ZWART,,20220125,20220125,75181
241,N056TN,Personenauto,HYUNDAI,KONA,20220121,BRUIN,,20220121,20220121,40690
242,N056VT,Personenauto,DACIA,SPRING,20220103,BLAUW,,20220103,20220103,19770
243,N056ZS,Personenauto,BMW,IX3,20220126,ZWART,,20220126,20220126,76449
244,N057JB,Personenauto,CITROEN,JUMPY,20220401,WIT,,20220401,20220401,52970
245,N057NT,Personenauto,HYUNDAI,IONIQ5,20220413,GRIJS,,20220413,20220413,50400
246,N057TN,Personenauto,HYUNDAI,KONA,20220304,WIT,,20220304,20220304,42895
247,N057VT,Personenauto,RENAULT,ZOE,20220111,GRIJS,,20220111,20220111,37405
248,N057XS,Personenauto,CITROEN,E-C4,20220131,GRIJS,,20220131,20220131,40050
249,N058JB,Personenauto,CITROEN,JUMPY,20220401,WIT,,20220401,20220401,52970
250,N058SZ,Personenauto,MERCEDES-BENZ,EQA 350 4MATIC,20220107,GRIJS,,20220107,20220107,69896
251,N058TN,Personenauto,HYUNDAI,KONA,20220209,WIT,,20220209,20220209,43590
252,N058VP,Personenauto,OPEL,MOKKA,20220107,WIT,,20220107,20220107,41496
253,N058XG,Personenauto,FORD,MUSTANG MACH-E,20220110,WIT,,20220110,20220110,61674
254,N058XV,Personenauto,MERCEDES-BENZ,EVITO TOURER,20220117,GRIJS,,20220117,20220117,73983
255,N059JB,Personenauto,CITROEN,JUMPY,20220701,WIT,,20220701,20220701,54870
256,N059PV,Personenauto,HYUNDAI,IONIQ5,20220111,GROEN,,20220111,20220111,51705
257,N060JB,Personenauto,CITROEN,JUMPY,20220622,WIT,,20220622,20220622,54870
258,N060NT,Personenauto,HYUNDAI,IONIQ5,20220112,GEEL,,20220112,20220112,50600
259,N060TN,Personenauto,HYUNDAI,KONA,20220304,GRIJS,,20220304,20220304,43590
260,N060XV,Personenauto,MERCEDES-BENZ,EQV,20220112,GRIJS,,20220112,20220112,80060
261,N060ZN,Personenauto,AUDI,E-TRON GT,20220114,GRIJS,,20220114,20220114,114784
262,N061JB,Personenauto,CITROEN,JUMPY,20220401,WIT,,20220401,20220401,52970
263,N061PV,Personenauto,HYUNDAI,KONA,20220104,WIT,,20220104,20220104,40690
264,N061TN,Personenauto,HYUNDAI,KONA,20220124,GRIJS,,20220124,20220124,39885
265,N061ZD,Personenauto,MERCEDES-BENZ,EVITO TOURER,20220131,WIT,,20220131,20220131,71295
266,N062JB,Personenauto,CITROEN,JUMPY,20220401,WIT,,20220401,20220401,52970
267,N062TN,Personenauto,HYUNDAI,KONA,20220408,GRIJS,,20220408,20220408,39885
268,N062VP,Personenauto,OPEL,CORSA,20220104,WIT,,20220104,20220104,33994
269,N063JB,Personenauto,CITROEN,JUMPY,20220401,WIT,,20220401,20220401,52970
270,N063TN,Personenauto,HYUNDAI,KONA,20220118,GRIJS,,20220118,20220118,39885
271,N063XR,Personenauto,HYUNDAI,IONIQ5,20220404,GEEL,,20220404,20220404,57600
272,N063XV,Personenauto,MERCEDES-BENZ,EQA 250,20220111,ZWART,,20220111,20220111,60153
273,N064JB,Personenauto,CITROEN,JUMPY,20220401,WIT,,20220401,20220401,52970
274,N064PV,Personenauto,HYUNDAI,KONA,20220404,BLAUW,,20220404,20220404,39995
275,N064VP,Personenauto,OPEL,CORSA,20220111,WIT,,20220111,20220111,33994
276,N064ZD,Personenauto,MAZDA,MAZDA MX-30,20220411,ZWART,,20220110,20220110,34400
277,N064ZR,Personenauto,AUDI,E-TRON GT,20220914,GRIJS,,20220105,20220621,122850
278,N065JB,Personenauto,CITROEN,JUMPY,20220401,WIT,,20220401,20220401,52970
279,N065TN,Personenauto,HYUNDAI,KONA,20220304,ROOD,,20220304,20220304,39090
280,N065VP,Personenauto,OPEL,CORSA,20220104,WIT,,20220104,20220104,33994
281,N065ZD,Personenauto,MAZDA,MAZDA MX-30,20220121,WIT,,20220121,20220121,34400
282,N066JB,Personenauto,CITROEN,JUMPY,20220131,WIT,,20220131,20220131,43919
283,N066PV,Personenauto,HYUNDAI,KONA,20220107,BLAUW,,20220107,20220107,40690
284,N066TN,Personenauto,HYUNDAI,KONA,20220511,BRUIN,,20220210,20220210,39785
285,N066VP,Personenauto,OPEL,CORSA,20220104,WIT,,20220104,20220104,33994
286,N067JB,Personenauto,CITROEN,JUMPY,20220314,WIT,,20220314,20220314,54870
287,N067TN,Personenauto,HYUNDAI,KONA,20220413,ZWART,,20220413,20220413,39885
288,N067VT,Personenauto,MERCEDES-BENZ,EQC 400 4MATIC,20220108,GRIJS,,20220108,20220108,76577
289,N067ZS,Personenauto,BMW,IX3,20220124,ZWART,,20220124,20220124,76454
290,N068JB,Personenauto,CITROEN,JUMPY,20220401,WIT,,20220401,20220401,52970
291,N068PV,Personenauto,HYUNDAI,KONA,20220128,GRIJS,,20220128,20220128,40690
292,N068SZ,Personenauto,MERCEDES-BENZ,EQS 450+,20220103,BLAUW,,20220103,20220103,117491
293,N069JB,Personenauto,CITROEN,JUMPY,20220105,WIT,,20220105,20220105,52970
